            1
         1000       25000         500 537
     841     900     159     337     662     626     445     970     610     422
      33     438     528     485     889     516     904     637     861     309
     376     974     962     888     697     903     999     409     173     462
     675     694     331     748     759      75     147     813     835     411
     729     432     773     615     334     274     792     651     786     583
     661     614     452     103     358     586     710     347     398     725
     531      31     298     397     620     905     491      87      24     244
     617     611     497     129      17     418     121     817     224     477
     814     426     909     689     529     760     910     570     876     782
     239     373     768     556     808     476     593     960     672     441
     150     163     921      25     271     439     396     737     633     673
     701     502     992      71     727      21     291     628     771     323
     521     765     917     561     805     269      23     603     612      11
     915     288     180     740     118     218     752     314     731     523
     569     158     604     652     313     756     582     154     166     564
     113     162     648     327     490      54     671     664     514     112
     554     381     969     265     519     181     810     449     827     776
     986      94     499     750      89     705     803     229      62     349
     272     117     236     573     845     482     496     778     475     985
     185     408     854     719     365     927     956     679     161     375
     188     307     429     371     589     997     887     190     883      55
      69     749     227     530     979      48      37     357     338     541
     686     601     873     784     217     509     459     251      41    1000
     567     325     234     598     852     144     232     209     929     538
     453     975      85     590     911     584     258     442     515     202
     448     834     713     676     581     176      64     343     391     280
     966     196     788     467     809     547      57     599     480     400
       7     447     858     892     943     535     902     627     390     994
     120     842     471     488     457     123     231     631     368     557
     464     127     630     700     963     256      40      95     221     379
     228     524     897     333       9     766     172       2     947     425
      81     450     273     769     286     201     682     326     437     311
     443     101     552     182     348     607     194     982     478      35
     745     504     419     474     539     559     886     833     868     126
     818     872      91     277     537     720     549     130     198     156
     811     363     722     189      51     625     451     430     688      30
     830     695     205      15     789     944      38     296     819     404
     698     473     170     506      39     250     115     175     526     306
     104     650      46     763     568     704     797     243     937     350
     386     310     918      20     500     898     638     378      42     677
     152     436     389     302     407     261     276     878     192     744
     933     798      10     266     714     179     588     951     508     707
     755     137     674     131     200     511      76     241     520     134
     344     317     320     285     352     455      96      77     489      22
     928     155     687     284     989     210     996     362     592     643
     987      65     456     751     801     779     957     211     634     880
     366      90      44     863       5     548     981     257     351     585
     919      53     893      52     865     955     143     458     335     301
      16     240     647     522     747      12     282     806     790     961
     762     770     345     427     505     367     304     826     235     828
      26      74      97      45      32      65      47      54      78      86
      57      74      85      88      24      11      93       4      71      79
       4      50      23      41      51      65      84      33      97      29
      59      53      94      33      70      73       8      55      24      18
      29      16      79      74      12      63      94      34      43      58
      33      15      56      92      74      74       8      66      86      62
      55      26      63       9      19      23      77      19      22      72
      34      69      70      97      66      71      34      77      97      75
      97       6      63       3      16      93      41      59      11      88
      43      62      50       4      75      39      66      85      47       3
       4      28       1      81      76      61      39      77      84      84
      90      66      27      34       3      31      33      80      43      10
      68      41      98      68      91       5      61       6      56      80
      69      93       6      43      88      93      45      59      16      99
      58      49      82       1       7      30       6      65      17      98
       1      14       2      98      24      88      50      37      92      41
      78      25      37      26      38      23      42      69       7      33
      22      40      73      55      10      19      89      61       6      14
      30      90      17      26      32      20      55      42      15      38
      66      54      99      53      83       9      13      38      90       2
      37      82      80      69      90      44       5      35      32      94
