1 
200 691 33  329211
8 
10 
23 
29 
33 
41 
45 
54 
68 
72 
76 
79 
83 
90 
102 
103 
105 
114 
116 
124 
128 
129 
143 
154 
160 
161 
162 
164 
169 
170 
192 
193 
196 
8002 
3793 
4736 
9111 
16417 
12828 
335 
12999 
20398 
8280 
9603 
19155 
11772 
19415 
7848 
9947 
7890 
14181 
12383 
11360 
13603 
17209 
5302 
15511 
12009 
6400 
9 
15635 
2459 
18401 
20910 
20197 
885 
1 7 8050 
1 70 8846 
1 77 3926 
1 86 4248 
1 102 4938 
1 136 10835 
1 156 10538 
2 39 6799 
2 40 4118 
2 48 10333 
2 61 2487 
2 87 4088 
2 99 5002 
2 132 1787 
2 146 7749 
2 149 11259 
2 176 9723 
2 193 7450 
3 57 7051 
3 124 10348 
3 151 6912 
3 164 10383 
3 179 10995 
3 183 8914 
3 187 11215 
4 46 9963 
4 49 5311 
4 107 3200 
4 127 6835 
4 135 6436 
4 161 10135 
4 183 7168 
4 187 7009 
5 20 7190 
5 33 5445 
5 114 10061 
5 158 10856 
5 198 3798 
6 30 7684 
6 62 10515 
6 81 11025 
6 85 9587 
6 92 4851 
6 97 7648 
6 126 4212 
7 70 6603 
7 77 8497 
7 86 3834 
7 102 3703 
7 120 9282 
7 136 10800 
7 156 9401 
8 52 7049 
8 128 4804 
9 19 7967 
9 23 7909 
9 35 9667 
9 79 9923 
9 82 8822 
9 104 10298 
9 171 10890 
10 155 8649 
10 157 7949 
11 75 8937 
11 140 4074 
11 155 9260 
11 189 3862 
12 103 10675 
12 124 8613 
12 158 4354 
12 167 9091 
13 65 2559 
13 103 8741 
13 127 10188 
13 130 9227 
13 153 4019 
13 157 6829 
14 62 1304 
14 74 10115 
14 81 934 
14 83 8486 
14 109 1047 
15 24 3685 
15 34 8623 
15 76 2712 
15 148 9759 
15 150 10471 
15 175 7407 
15 195 5435 
16 65 10075 
16 93 6985 
16 103 6287 
16 158 10803 
17 44 2074 
17 50 7902 
17 113 2418 
17 147 9899 
17 152 3702 
17 200 5799 
18 20 11220 
18 36 2626 
18 57 6906 
18 114 2803 
18 124 6771 
18 131 8735 
18 159 3435 
18 196 6867 
18 198 9055 
18 199 7720 
19 82 3460 
19 90 11052 
19 98 9499 
19 104 9512 
19 182 9873 
19 194 6858 
20 33 5722 
20 114 9343 
20 196 9118 
20 198 5878 
20 199 6586 
21 118 5209 
21 188 11268 
22 42 4497 
22 95 2020 
22 144 7717 
22 145 7678 
22 169 5292 
22 184 8961 
23 35 9527 
23 51 7950 
23 72 8758 
23 79 3980 
23 111 10442 
23 119 10687 
23 171 6039 
24 34 8476 
24 76 3763 
24 78 9359 
24 148 7452 
24 150 7377 
24 175 4026 
24 195 1754 
25 51 9358 
25 55 5575 
25 67 4839 
25 90 10441 
25 106 5176 
25 117 1540 
25 121 4973 
26 59 8187 
26 122 5266 
26 134 10080 
26 173 10399 
26 184 11291 
26 186 8815 
27 52 7407 
27 94 7180 
27 112 4835 
27 165 2265 
27 191 6138 
28 38 1439 
28 162 2334 
29 77 9062 
29 139 2647 
29 141 5463 
29 154 3431 
29 172 9786 
30 35 10663 
30 85 6345 
30 92 10365 
30 97 10902 
30 104 10922 
30 126 11247 
31 32 9315 
31 68 7358 
31 69 2576 
31 129 8941 
32 63 9226 
32 68 4700 
32 69 7169 
32 116 4341 
32 129 4912 
32 163 9302 
32 173 5996 
33 198 7464 
34 76 10967 
34 148 5352 
34 175 7895 
34 195 8795 
35 72 3237 
35 101 10227 
35 110 3456 
35 111 4144 
35 115 10304 
35 168 9381 
35 171 5764 
36 57 4332 
36 114 4738 
36 124 6091 
36 131 8277 
36 159 4654 
36 196 9077 
36 198 11000 
36 199 10242 
37 47 3205 
37 56 7090 
37 64 7655 
37 138 7807 
37 166 7261 
37 180 8870 
37 193 11117 
38 162 899 
39 40 4477 
39 61 9046 
39 87 10798 
39 99 8292 
39 132 5030 
39 146 4246 
40 61 5515 
40 87 7285 
40 99 3816 
40 132 3172 
40 146 3686 
40 176 8603 
40 193 11072 
41 131 9472 
41 160 3955 
41 164 6806 
41 179 6815 
42 63 10137 
42 95 2534 
42 116 10976 
42 144 5643 
42 145 3190 
42 163 10796 
42 169 1475 
42 184 10209 
43 71 6797 
43 91 10634 
43 100 6574 
43 125 5951 
43 143 10564 
43 181 9013 
44 50 8288 
44 113 4316 
44 152 4642 
44 200 7614 
45 85 7717 
45 93 10480 
45 97 10902 
45 120 5737 
45 123 2914 
46 54 6936 
46 105 3893 
46 127 10610 
46 135 9959 
46 161 4857 
47 56 4071 
47 64 4953 
47 66 10633 
47 138 7508 
47 166 5101 
47 180 7790 
47 193 10024 
48 61 10047 
48 87 9163 
48 133 8409 
48 149 3213 
48 166 8721 
48 193 5129 
49 107 6953 
49 135 5072 
49 151 10085 
49 183 5380 
49 187 2996 
50 113 9315 
50 152 4304 
50 200 6399 
51 55 7548 
51 67 5813 
51 79 4079 
51 90 8431 
51 98 10173 
51 117 8740 
51 121 8074 
51 177 10814 
52 94 10533 
52 112 7430 
52 128 10703 
52 165 6515 
53 71 6771 
53 84 2506 
53 89 8067 
53 91 3466 
53 125 11078 
53 133 5523 
53 136 9620 
53 142 7591 
53 149 9128 
53 156 11001 
53 181 11038 
53 185 1834 
54 75 7635 
54 105 3566 
54 161 8661 
55 58 11161 
55 67 7076 
55 79 10779 
55 90 4890 
55 98 6902 
55 106 5198 
55 117 6395 
55 121 8819 
55 182 11313 
56 64 1485 
56 66 7468 
56 138 7257 
56 166 6301 
56 180 6388 
57 114 8385 
57 124 6299 
57 131 10191 
57 159 8634 
57 164 9876 
57 179 11037 
58 60 4741 
58 73 4617 
58 78 8676 
58 82 10668 
58 90 8272 
58 96 10485 
58 98 6875 
58 150 8840 
58 182 3055 
59 134 2350 
60 73 4600 
60 78 6555 
60 96 9469 
60 150 4251 
60 175 10817 
60 182 7196 
60 195 10357 
61 87 1789 
61 99 4440 
61 132 4195 
61 146 9159 
61 149 10247 
61 176 8294 
61 193 8423 
62 74 9595 
62 81 1059 
62 83 9770 
62 109 1854 
63 116 5835 
63 129 6576 
63 144 10922 
63 145 6963 
63 163 689 
63 169 9587 
63 173 10247 
64 66 6034 
64 138 6212 
64 166 7776 
64 180 5077 
64 188 10098 
65 103 6183 
65 127 9577 
65 130 7259 
65 153 5224 
65 157 7754 
65 167 10328 
66 118 10075 
66 138 6758 
66 172 8478 
66 180 4670 
66 188 4560 
67 79 9799 
67 90 10845 
67 106 9498 
67 117 3596 
67 121 2381 
67 177 8561 
68 69 6415 
68 116 8974 
68 129 8389 
68 173 8975 
69 116 10605 
69 129 6367 
70 86 6275 
70 89 7886 
70 102 5005 
70 136 4265 
70 142 10084 
70 156 2798 
71 84 6982 
71 89 10116 
71 91 3997 
71 125 8493 
71 133 10768 
71 142 8219 
71 155 11208 
71 181 10342 
71 185 6583 
72 101 8618 
72 110 4152 
72 111 1785 
72 115 7367 
72 168 8096 
72 171 3344 
73 78 10963 
73 96 5907 
73 98 10194 
73 150 8366 
73 178 10375 
73 182 4820 
73 194 11215 
74 81 10565 
74 109 11137 
74 186 5850 
75 105 10289 
75 140 9881 
75 189 8862 
76 148 11080 
76 150 8696 
76 175 7758 
76 192 11184 
76 195 5269 
77 86 5665 
77 102 6873 
77 141 10180 
77 154 8551 
78 148 9025 
78 150 5746 
78 175 6457 
78 195 7624 
79 82 10885 
79 90 9901 
79 98 11027 
79 119 11283 
79 171 9685 
80 87 10667 
80 125 6907 
80 133 10876 
80 143 10399 
80 170 5547 
80 176 9194 
80 181 4159 
81 83 9197 
81 109 846 
82 90 7603 
82 98 6156 
82 182 7780 
82 194 9287 
83 108 11271 
83 109 8502 
84 89 5561 
84 91 2990 
84 133 7849 
84 136 7716 
84 142 5206 
84 149 10685 
84 156 8918 
84 185 4280 
85 92 8992 
85 97 7407 
85 110 10373 
85 120 10765 
85 123 5117 
85 126 11050 
86 102 1272 
86 136 9677 
86 156 8747 
87 99 5696 
87 132 5864 
87 133 9635 
87 146 10903 
87 149 8898 
87 176 8674 
87 193 8503 
88 174 8243 
88 197 9202 
89 91 6928 
89 136 5412 
89 142 2221 
89 155 9639 
89 156 5522 
89 185 9827 
90 98 2133 
90 106 9168 
90 117 11109 
90 182 7315 
91 125 10829 
91 133 8675 
91 136 10387 
91 142 5565 
91 185 4275 
92 97 3434 
92 123 11213 
92 126 2477 
92 141 7981 
92 154 10115 
93 101 7419 
93 168 7581 
94 112 3193 
94 165 5450 
95 144 6202 
95 145 5722 
95 169 3561 
95 184 8924 
96 178 6160 
96 182 9818 
96 192 10236 
96 194 9335 
97 120 9703 
97 123 8255 
97 126 5866 
97 141 8720 
97 154 10386 
98 106 10695 
98 182 5392 
99 132 5457 
99 146 6352 
99 176 5010 
101 110 7230 
101 111 6836 
101 115 5519 
101 168 1224 
101 171 10958 
102 136 8510 
102 156 7513 
103 127 11071 
103 130 5629 
103 153 10519 
103 167 6916 
104 108 8923 
104 109 11165 
104 194 9740 
105 161 5214 
106 117 6709 
106 121 10118 
106 191 8314 
107 127 5706 
107 130 8893 
107 135 9465 
107 167 8597 
107 183 6142 
107 187 7372 
108 109 11191 
108 194 7315 
110 111 3410 
110 115 8838 
110 168 6229 
110 171 7492 
111 115 6172 
111 168 6317 
111 171 4696 
112 165 2673 
112 191 10348 
113 147 7506 
113 152 5036 
113 200 5293 
114 124 5775 
114 159 5849 
114 196 7715 
114 198 6326 
114 199 7612 
115 119 10297 
115 168 6206 
115 171 7956 
116 129 5491 
116 144 8578 
116 145 8624 
116 163 6164 
116 169 11226 
116 173 4801 
117 121 3434 
117 177 11185 
118 138 9431 
118 180 9352 
118 188 6091 
119 171 9437 
119 177 8190 
120 123 6151 
121 128 9591 
121 177 7757 
122 144 10490 
122 173 11157 
122 184 6655 
122 186 6098 
124 158 11050 
124 159 10110 
124 198 9108 
125 133 10740 
125 143 8992 
125 170 9370 
125 181 3084 
125 185 9469 
126 141 7725 
126 154 10023 
127 130 5867 
127 153 7203 
127 167 7789 
128 177 9976 
129 163 6298 
129 173 9685 
130 153 8611 
130 167 3308 
131 159 5930 
131 160 10345 
131 164 10903 
131 196 9130 
132 146 6487 
132 176 10438 
132 193 7901 
133 149 5256 
133 181 9168 
133 185 4438 
135 161 6999 
135 183 10306 
135 187 8047 
136 142 7523 
136 156 1695 
138 180 2106 
138 188 7929 
139 141 7332 
139 154 5725 
139 172 7165 
140 155 5188 
